category,av_fn,outform,savekey,symboloverride,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
default,defaultparam,,,,R:apikey,R:datatype=csv,,,,,,,,
equity,TIME_SERIES_INTRADAY,,,,R:symbol,R:interval=15min,O:adjusted,O:extended_hours,O:month,O:outputsize=compact,O:entitlement={entitlement},,,
equity,TIME_SERIES_DAILY,,symbol;timestamp,,R:symbol,O:outputsize=full,O:entitlement={entitlement},,,,,,,
equity,TIME_SERIES_DAILY_ADJUSTED,,symbol;timestamp,,R:symbol,O:outputsize=full,O:entitlement={entitlement},,,,,,,
equity,TIME_SERIES_WEEKLY,,symbol;timestamp,,R:symbol,,,,,,,,,
equity,TIME_SERIES_WEEKLY_ADJUSTED,,symbol;timestamp,,R:symbol,,,,,,,,,
equity,TIME_SERIES_MONTHLY,,symbol;timestamp,,R:symbol,,,,,,,,,
equity,TIME_SERIES_MONTHLY_ADJUSTED,,symbol;timestamp,,R:symbol,,,,,,,,,
equity,GLOBAL_QUOTE,,symbol,,R:symbol,O:entitlement={entitlement},,,,,,,,
equity,REALTIME_BULK_QUOTES,,symbol,,R:symbol,,,,,,,,,
equity,SYMBOL_SEARCH,,,TRUE,R:keywords,,,,,,,,,
equity,MARKET_STATUS,melt,,,,,,,,,,,,
equity,REALTIME_OPTIONS,,symbol;timestamp,,R:symbol,O:require_greeks=true,O:contract,,,,,,,
equity,REALTIME_PUT_CALL_RATIO,,symbol;timestamp,,R:symbol,,,,,,,,,
equity,REALTIME_VOLUME_OPEN_INTEREST_RATIO,,symbol;timestamp,,R:symbol,,,,,,,,,
equity,HISTORICAL_OPTIONS,,symbol;contractID,,R:symbol,O:date,,,,,,,,
equity,HISTORICAL_PUT_CALL_RATIO,,symbol;timestamp,,R:symbol,O:date,,,,,,,,
equity,HISTORICAL_VOLUME_OPEN_INTEREST_RATIO,,symbol;timestamp,,R:symbol,O:date,,,,,,,,
equity,NEWS_SENTIMENT,melt,symbol,TRUE,O:tickers,O:topics,O:time_from,O:time_to,O:sort=LATEST,O:limit=50,C:symbol=tickers,,,
equity,EARNINGS_CALL_TRANSCRIPT,melt,symbol,,R:symbol,R:quarter,,,,,,,,
equity,TOP_GAINERS_LOSERS,melt,symbol,,O:entitlement={entitlement},,,,,,,,,
equity,INSIDER_TRANSACTIONS,melt,symbol,,R:symbol,,,,,,,,,
equity,INSTITUTIONAL_HOLDINGS,melt,symbol,,R:symbol,,,,,,,,,
equity,ANALYTICS_FIXED_WINDOW,melt,symbol,,R:SYMBOLS,R:RANGE=4week,O:OHLC=close,R:INTERVAL=DAILY,"R:CALCULATIONS=CUMULATIVE_RETURN,STDDEV(annualized=True)",C:symbol=SYMBOLS,,,,
equity,ANALYTICS_SLIDING_WINDOW,melt,symbol,,R:SYMBOLS,R:RANGE=4week,O:OHLC=close,R:INTERVAL=DAILY,"R:CALCULATIONS=CUMULATIVE_RETURN,STDDEV(annualized=True)",C:symbol=SYMBOLS,,,,
equity,OVERVIEW,melt,symbol;variable,,R:symbol,,,,,,,,,
equity,ETF_PROFILE,melt,symbol;variable,,R:symbol,,,,,,,,,
equity,DIVIDENDS,melt,symbol;variable,,R:symbol,,,,,,,,,
equity,SPLITS,melt,symbol;variable,,R:symbol,,,,,,,,,
equity,INCOME_STATEMENT,melt,symbol;variable,,R:symbol,,,,,,,,,
equity,BALANCE_SHEET,melt,symbol;variable,,R:symbol,,,,,,,,,
equity,CASH_FLOW,melt,symbol;variable,,R:symbol,,,,,,,,,
equity,SHARES_OUTSTANDING,melt,symbol;variable,,R:symbol,,,,,,,,,
equity,EARNINGS,melt,symbol;variable,,R:symbol,,,,,,,,,
equity,EARNINGS_ESTIMATES,melt,symbol;variable,,R:symbol,,,,,,,,,
equity,LISTING_STATUS,melt,,,O:date,O:state=active,,,,,,,,
equity,EARNINGS_CALENDAR,melt,,,O:symbol,O:horizon=6month,,,,,,,,
equity,IPO_CALENDAR,melt,,TRUE,,,,,,,,,,
index,INDEX_CATALOG,,,TRUE,,,,,,,,,,
index,INDEX_DATA,,symbol;date,,R:symbol,R:interval=daily,,,,,,,,
fx,CURRENCY_EXCHANGE_RATE,,symbol;variable,TRUE,R:from_currency,R:to_currency,,,,,,,,
fx,FX_INTRADAY,,symbol;timestamp,TRUE,R:from_symbol,R:to_symbol,R:interval=15min,O:outputsize=full,,,,,,
fx,FX_DAILY,,symbol;timestamp,TRUE,R:from_symbol,R:to_symbol,O:outputsize=full,,,,,,,
fx,FX_WEEKLY,,symbol;timestamp,TRUE,R:from_symbol,R:to_symbol,,,,,,,,
fx,FX_MONTHLY,,symbol;timestamp,TRUE,R:from_symbol,R:to_symbol,,,,,,,,
