cat,order1,order2,category,runcode,focus,dtstr_hist,help
runset,0,0,Gen,SelectOption,,,
runset,2,1,Gen,Gen:LivePx,MAIN,,Summarize Live Prices
runset,3,,Misc,Gen:NameSearch,MAIN,-3d::,Ticker search
runset,4,2,TS,TS:PriceTS,MAIN,-5y::,Price/Total Return Time Series
runset,5,,TS,TS:ActiveTS,MAIN,-5y::,TotRtn(top assets)-TotRtn(bottom)
runset,6,,TS,TS:HistVolTS,MAIN,-5y::,Historical realized vol
runset,8,,EQ,EQ:DES,MAIN,,Ticker Data/Description
runset,9,,EQ,EQ:News,NEWS,-3d::,News by ticker
runset,10,,EQ,EQ:DivEarn,MAIN,-1y::,Divs/Earnings (1st ticker)
runset,11,,EQ,EQ:OptSearch,OPTIONS,-1y::,Option Search
runset,13,,Gen,Gen:Movers,MAIN,-3d::,US Index movers
helpstr,,,istr1,TS:ActiveTS,,,**ScatPlots in Detail
