category,runcode,func_src,func_name,func_reqinput,func_opts,focus,output,tabrename,helpstr,helpexample
tblhlp>,Code to Type,native or user,func name,req parameter,optins to add,tab to move to,"where, if not default",,,
MISC,AV.MOV,avsh,av_movers,,,main,,,Equity Movers,
EQ,AV.LIVE,avsh,av_livepx,,,main,,,Live Prices (all),
HELP,AV.H,avsh,av_help,,grepstr,main,,,Help on Commands,H PX
MISC,AV.HIST,avsh,av_misc,,,main,,,Show recent history,
MISC,AV.R,avsh,av_misc,nitem,,main,,,Recall command <nitem>,
MISC,AV.INPUTS,avsh,av_dumprv,,,main,,,Summary of input values,
MISC,AV.INV,avsh,av_inventory,,grepstr,main,,,All Data Inventory,
MISC,AV.EQINV,avsh,av_inventory,,grepstr,main,,,Equity/ETF inventory,
MISC,AV.TICKERS,avsh,av_inventory,,grepstr,main,,,Available Index and Crypt tickers,
MISC,S,avsh,av_search,searchstring,"checkav, name=,type=",main,,,Search for Ticker (See notes),
MISC,RM,avsh,av_misc,,,main,,,Remove Ticker,
PX,GP,avsh,av_gp,,w=-6m::,main,TS1,,Graph Prices,
PX,GPI,avsh,av_gp,,w=-6m::,main,TS1,,Graph Prices (Rebase),
PX,GPLR,avsh,av_gp,,w=-6m::,main,TS1,,Graph Log Returns,
PX,GPD,avsh,av_gp,gendatestring,,main,TS1,,Graph Prices (Rebase at date),GPD2 -3m::
PX,GP2,avsh,av_gp,,w=-6m::,main,TS2,,Graph Prices (Graph 2),GP2 w=-3m::-1m
PX,GPI2,avsh,av_gp,,w=-6m::,main,TS2,,Graph Prices (Rebase) on Graph 2,
PX,GPLR2,avsh,av_gp,,w=-6m::,main,TS1,,Graph Log Returns,
PX,GPD2,avsh,av_gp,gendatestring,,main,TS2,,Graph Prices (Rebase at date) on Graph 2,
PX,SCAT,avsh,av_scat,,,main,SCAT1,scatter,Scatter vs CounterAsset,
PX,SCATI,avsh,av_scat,,w=-6m::,main,SCAT1,scatter,Scatter vs CounterAsset (rebased),
RV,RV,avsh,av_active,,,main,,,Prices vs CounterAsset,
VOL,GV,avsh,av_vol,,,main,,,"Volatility, Corr w/ CounterAsset",
EQ,Q,avsh,av_livepx,,,main,,,Live Prices (Ln 1),
EQ,DES,avsh,av_des,,,main,,ETF,Equity/ETF description,
EQ,CN,avsh,av_news,,,news,,,Equity/ETF NEWS,
EQ,DIV,avsh,av_divs,,,main,,,Equity/ETF dividends,
EQ,EA,avsh,av_earn,,,main,,,Equity/ETF earnings,
EQ,OS,avsh,av_optsearch,,"[f=F,M,C,otm][d=5]",options,,,Search for Options with mindelta d,"OS A,M,A,otm"
PX,GPE,avsh,av_gearn,,,main,,,Graph P/E,
PX,GPE2,avsh,av_gearn,,,main,,,Graph (on 2) P/E,
PX,GEP,avsh,av_gearn,,,main,,,Graph E/P,
PX,GEP2,avsh,av_gearn,,,main,,,Graph (on 2) E/P,
PX,GPF,avsh,av_gearn,,,main,,,Graph Fcst P/E,
PX,GPF2,avsh,av_gearn,,,main,,,Graph (on 2) Fcst P/E,
PX,GFP,avsh,av_gearn,,,main,,,Graph FcstE/P,
PX,GFP2,avsh,av_gearn,,,main,,,Graph (on 2) FcstE/P,
PX,GPEE,avsh,av_earnest,,,main,,,Graph Estimates Evolution,
PX,SEASDIV,avsh,av_seasonality,,,main,,,First Asset Dividend Seasonality,
PX,SEASEA,avsh,av_seasonality,,,main,,,First Asset Earnings Seasonality,
PX,SEAS,avsh,av_seasonality,,yr,main,,,First Asset Seasonality,
