catprio,prio,category,format,source,dtype,num_div,EquityName,ETFName,tformula
1,2,gen,,av,character,1,Symbol,,
1,3,gen,x-small,av,character,1,Name,,
1,4,gen,x-small,av,character,1,Sector,,
1,5,gen,x-small,av,character,1,Industry,,
1,6,gen,,av,numeric,1000000,MarketCapitalization,net_assets ,
1,7,gen,green,av,numeric,1,Beta,,
2,1,earn,yellow,av,numeric,1,ForwardPE,,
2,2,earn,yellow,av,numeric,1,Fwd_EP,100/ForwardPE,
2,3,etf,,av,numeric,1,Levered,leveraged,
2,4,earn,yellow,av,numeric,1,TrailingPE,,
2,5,earn,yellow,av,numeric,1,Trail_EP,100/TrailingPE,
2,6,etf,,av,numeric,1,PortTurnover,portfolio_turnover,
2,7,earn,,av,numeric,1,ProfitMargin,net_expense_ratio,
2,8,etf,,av,numeric,1,InceptionDate,inception_date,
2,9,earn,,av,character,1,EBITDA,,
2,10,earn,,av,numeric,1,EPS,,
2,11,earn,,av,numeric,1,DilutedEPSTTM,,
2,12,earn,,av,numeric,1,QuarterlyEarningsGrowthYOY,,
2,13,earn,,av,numeric,1,QuarterlyRevenueGrowthYOY,,
2,14,earn,,av,numeric,1,PEGRatio,,
3,1,divs,green,av,numeric,1,DividendYield,dividend_yield,
3,3,divs,,av,numeric,1,DividendPerShare,,
3,4,divs,,av,character,1,DividendDate,,
3,5,divs,,av,character,1,ExDividendDate,,
4,1,fund,,av,numeric,1,PriceToBookRatio,,
4,2,fund,,av,numeric,1,PriceToSalesRatioTTM,,
4,3,fund,,av,character,1,EVToEBITDA,,
4,4,fund,,av,numeric,1,EVToRevenue,,
4,5,fund,,av,numeric,1,BookValue,,
4,6,fund,,av,numeric,1,GrossProfitTTM,,
4,7,fund,,av,numeric,1,OperatingMarginTTM,,
4,8,fund,,av,numeric,1,ReturnOnAssetsTTM,,
4,9,fund,,av,numeric,1,ReturnOnEquityTTM,,
4,10,earn,green,av,numeric,1,PERatio,,
4,11,fund,,av,numeric,1,RevenuePerShareTTM,,
4,12,fund,,av,numeric,1,RevenueTTM,,
5,1,ratings,,av,numeric,1,AnalystTargetPrice,,
5,2,ratings,,av,numeric,1,AnalystRatingStrongBuy,,
5,3,ratings,,av,numeric,1,AnalystRatingStrongSell,,
5,4,ratings,,av,numeric,1,AnalystRatingBuy,,
5,5,ratings,,av,numeric,1,AnalystRatingHold,,
5,6,ratings,,av,numeric,1,AnalystRatingSell,,
6,1,histpx,,av,numeric,1,50DayMovingAverage,,
6,2,histpx,,av,numeric,1,200DayMovingAverage,,
6,3,histpx,,av,numeric,1,52WeekHigh,,
6,4,histpx,,av,numeric,1,52WeekLow,,
7,1,mkt,,av,numeric,1000000,SharesFloat,,
7,2,mkt,,av,numeric,1000000,SharesOutstanding,,
7,3,mkt,,av,numeric,1,PercentInsiders,,
7,4,mkt,,av,numeric,1,PercentInstitutions,,
8,1,misc,,noshow,numeric,1,Address,,
8,2,misc,,noshow,numeric,1,CIK,,
8,3,misc,,av,character,1,Country,,
8,4,misc,,av,character,1,Exchange,,
8,5,misc,,av,character,1,FiscalYearEnd,,
8,6,misc,,av,numeric,1,LatestQuarter,,
8,7,misc,fmt_url,av,character,1,OfficialSite,,
8,8,misc,,av,character,1,Currency,,
8,9,misc,x-small,av,character,1,Description,,
8,10,misc,x-small,av,character,1,AssetType,,
